sender,receiver,timestamp,amount,country,high_amount_anomaly,frequent_anomaly,odd_time_anomaly,country_weighted_anomaly,final_anomaly
1000,5326,2025-03-29 04:31:11.761245,3787,AE,False,False,True,False,0
1000,4964,2025-03-29 11:43:11.761245,548781,AE,True,False,False,False,0
1000,8259,2025-03-29 11:52:11.761245,842951,IN,True,False,False,False,0
1000,1528,2025-03-29 12:08:11.761245,164482,UK,False,False,False,False,0
1001,8842,2025-03-29 03:36:11.761245,102936,UK,False,False,True,False,0
1001,1758,2025-03-29 03:46:11.761245,196222,KY,False,False,True,False,0
1001,6921,2025-03-29 15:37:11.761245,15289,SG,False,False,False,False,0
1002,8364,2025-03-28 20:05:11.761245,822549,AE,True,False,False,False,0
1002,1946,2025-03-29 10:05:11.761245,140348,AE,False,False,False,False,0
1004,8200,2025-03-29 06:27:11.761245,123163,AE,False,False,False,False,0
1005,6349,2025-03-29 08:50:11.761245,228243,IN,False,False,False,False,0
1007,4120,2025-03-29 08:20:11.761245,209618,IN,False,False,False,False,0
1008,2610,2025-03-28 21:35:11.761245,680867,IN,True,False,False,False,0
1009,3151,2025-03-29 00:06:11.761245,153845,US,False,False,True,False,1
1009,4409,2025-03-29 01:54:11.761245,822394,KY,True,False,True,True,0
1009,2172,2025-03-29 09:55:11.761245,290400,KY,False,False,False,True,0
1011,8586,2025-03-29 01:10:11.761245,160468,US,False,False,True,False,0
1011,1428,2025-03-29 09:03:11.761245,370280,IN,False,False,False,False,0
1011,3561,2025-03-29 09:45:11.761245,776755,IN,True,False,False,False,0
1012,4246,2025-03-28 17:11:11.761245,404140,KY,False,False,False,False,0
1012,2047,2025-03-28 19:55:11.761245,201141,IN,False,False,False,False,0
1012,4927,2025-03-28 20:07:11.761245,914052,UK,True,False,False,False,0
1012,2875,2025-03-29 07:23:11.761245,196336,KY,False,False,False,False,0
1013,7697,2025-03-29 02:48:11.761245,456174,SG,False,False,True,False,0
1013,1652,2025-03-29 11:28:11.761245,303786,US,False,False,False,False,0
1014,2591,2025-03-28 22:13:11.761245,714535,IN,True,False,False,False,0
1015,1195,2025-03-29 08:17:11.761245,518715,UK,True,False,False,False,0
1015,1697,2025-03-29 09:35:11.761245,80722,UK,False,False,False,False,0
1015,3459,2025-03-29 12:10:11.761245,620546,AE,True,False,False,False,0
1017,4269,2025-03-29 08:50:11.761245,755236,AE,True,False,False,False,0
1019,8771,2025-03-29 06:48:11.761245,686866,UK,True,False,False,False,0
1020,1324,2025-03-29 06:31:11.761245,773414,SG,True,False,False,False,0
1021,6956,2025-03-28 19:46:11.761245,108240,US,False,False,False,False,0
1021,5058,2025-03-29 12:08:11.761245,767895,AE,True,False,False,False,1
1022,7768,2025-03-29 00:33:11.761245,493523,SG,False,False,True,False,0
1024,2542,2025-03-28 22:54:11.761245,212028,SG,False,False,False,False,0
1025,1073,2025-03-29 12:15:11.761245,851860,SG,True,False,False,False,0
1026,3611,2025-03-29 03:55:11.761245,728445,UK,True,False,True,False,0
1026,2910,2025-03-29 05:34:11.761245,96087,UK,False,False,True,False,0
1026,2144,2025-03-29 09:55:11.761245,797151,AE,True,False,False,False,0
1026,1933,2025-03-29 11:53:11.761245,822491,AE,True,False,False,False,0
1027,5899,2025-03-29 02:27:11.761245,367390,US,False,False,True,False,0
1028,5386,2025-03-29 03:51:11.761245,17621,SG,False,False,True,False,0
1029,7918,2025-03-28 21:14:11.761245,224322,UK,False,False,False,False,0
1034,6694,2025-03-29 06:32:11.761245,421586,IN,False,False,False,False,0
1036,4040,2025-03-28 19:11:11.761245,349927,UK,False,False,False,False,1
1037,8596,2025-03-29 09:50:11.761245,585191,UK,True,False,False,False,0
1039,8339,2025-03-28 21:15:11.761245,368505,SG,False,False,False,False,0
1039,2734,2025-03-29 16:16:11.761245,393524,UK,False,False,False,False,0
1041,8864,2025-03-28 19:27:11.761245,388439,KY,False,False,False,False,0
1042,2104,2025-03-28 20:24:11.761245,607109,IN,True,False,False,False,0
1043,8510,2025-03-28 22:20:11.761245,526618,US,True,False,False,False,0
1043,7448,2025-03-29 14:36:11.761245,706433,IN,True,False,False,False,0
1043,2448,2025-03-29 16:11:11.761245,183429,AE,False,False,False,False,0
1044,7701,2025-03-29 06:07:11.761245,641527,UK,True,False,False,False,1
1044,2152,2025-03-29 09:45:11.761245,440601,UK,False,False,False,False,0
1044,1414,2025-03-29 13:29:11.761245,764601,UK,True,False,False,False,0
1046,5900,2025-03-28 17:44:11.761245,138621,US,False,False,False,False,0
1046,8844,2025-03-28 20:34:11.761245,597793,UK,True,False,False,False,0
1046,1560,2025-03-29 07:27:11.761245,656899,US,True,False,False,False,0
1046,1414,2025-03-29 12:19:11.761245,248588,IN,False,False,False,False,1
1047,2044,2025-03-29 12:02:11.761245,568545,US,True,False,False,False,0
